obtv-admin@tustin-obviu2:~/obview$ docker compose logs | grep ERROR
obview_db   | 2026-08-16 05:02:59.164 UTC [61] ERROR:  constraint "fk_comments_unified_parent_id" for relation "comments_unified" already exists
obview_db   | 2026-08-16 05:02:59.164 UTC [61] ERROR:  constraint "fk_comments_unified_user_id" for relation "comments_unified" already exists
obview_db   | 2026-08-16 05:02:59.164 UTC [61] ERROR:  constraint "folders_created_by_id_fkey" for relation "folders" already exists
obview_db   | 2026-08-16 05:02:59.164 UTC [61] ERROR:  constraint "folders_parent_folder_id_fkey" for relation "folders" already exists
obview_db   | 2026-08-16 05:02:59.164 UTC [61] ERROR:  constraint "folders_project_id_fkey" for relation "folders" already exists
obview_db   | 2026-08-16 05:02:59.165 UTC [61] ERROR:  constraint "invitations_accepted_by_id_fkey" for relation "invitations" already exists
obview_db   | 2026-08-16 05:02:59.165 UTC [61] ERROR:  constraint "invitations_created_by_id_fkey" for relation "invitations" already exists
obview_db   | 2026-08-16 05:02:59.165 UTC [61] ERROR:  constraint "invitations_project_id_fkey" for relation "invitations" already exists
obview_db   | 2026-08-16 05:02:59.165 UTC [61] ERROR:  constraint "password_resets_user_id_fkey" for relation "password_resets" already exists
obview_db   | 2026-08-16 05:02:59.165 UTC [61] ERROR:  constraint "project_users_project_id_fkey" for relation "project_users" already exists
obview_db   | 2026-08-16 05:02:59.165 UTC [61] ERROR:  constraint "project_users_user_id_fkey" for relation "project_users" already exists
obview_db   | 2026-08-16 05:02:59.166 UTC [61] ERROR:  constraint "projects_created_by_id_fkey" for relation "projects" already exists
obview_db   | 2026-08-16 05:02:59.166 UTC [61] ERROR:  constraint "projects_folder_id_fkey" for relation "projects" already exists
obview_db   | 2026-08-16 05:02:59.166 UTC [61] ERROR:  constraint "public_comments_file_id_fkey" for relation "public_comments" already exists
obview_db   | 2026-08-16 05:02:59.166 UTC [61] ERROR:  constraint "qc_reports_file_id_fkey" for relation "qc_reports" already exists
obview_db   | 2026-08-16 05:02:59.166 UTC [61] ERROR:  constraint "recent_projects_project_id_fkey" for relation "recent_projects" already exists
obview_db   | 2026-08-16 05:02:59.166 UTC [61] ERROR:  constraint "recent_projects_user_id_fkey" for relation "recent_projects" already exists
obview_db   | 2026-08-16 05:02:59.166 UTC [61] ERROR:  constraint "share_links_created_by_id_fkey" for relation "share_links" already exists
obview_db   | 2026-08-16 05:02:59.167 UTC [61] ERROR:  constraint "transcripts_file_id_fkey" for relation "transcripts" already exists
obview_db   | 2026-08-16 05:02:59.167 UTC [61] ERROR:  constraint "video_processing_file_id_fkey" for relation "video_processing" already exists
obview_db   | 2026-08-17 01:04:57.725 UTC [54547] ERROR:  column "error" does not exist at character 43
